"rank","district","province","idarea","spatial_RE_log_scale","spatial_RE_CrI_lower_log_scale","spatial_RE_CrI_upper_log_scale","posterior_spatial_RR","posterior_spatial_RR_CrI_lower","posterior_spatial_RR_CrI_upper","label_for_outputs","extraction_rule"
1,"경상남도사천시","경상남도",54,1.81375506004744,1.27204611151112,2.35239139248237,6.13343566333738,3.56814592274255,10.5106748434726,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
2,"경상남도통영시","경상남도",61,1.30451398563722,0.684410109659981,1.9265857939644,3.68589725930392,1.98260197277387,6.86602814330351,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
3,"경상남도진주시","경상남도",58,1.19790082237997,0.775473797173194,1.62673531516106,3.31315471760567,2.17162079126728,5.08723934552353,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
4,"경상남도고성군","경상남도",51,1.04001714152602,0.43595912915873,1.64539132714474,2.82926551186429,1.54644558892555,5.18303777351598,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
5,"전라남도영광군","전라남도",175,1.02694362112909,0.365620523434562,1.70912921505281,2.79251778595792,1.44140815824094,5.52414903680033,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
6,"경상남도하동군","경상남도",62,0.966235529489094,0.414884571036915,1.54371097635565,2.62803266326475,1.51419594853596,4.68193261380234,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
7,"경상남도함양군","경상남도",64,0.777855049359131,0.148604312304515,1.43953571356898,2.17679812985148,1.16021381603935,4.21873666003945,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
8,"울산시동구","울산시",149,0.718319564533483,0.00846182619561147,1.44404261302835,2.05098376730832,1.0084977286422,4.23779299224224,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
9,"경상남도산청군","경상남도",55,0.702659793898224,0.0962260911603729,1.325342250629,2.01911600410428,1.10100796402404,3.76347318567192,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
10,"광주시북구","광주시",90,0.605184287199129,0.147373342159603,1.07400141014834,1.83158971632444,1.15878650613826,2.92706849973928,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
11,"경상남도김해시","경상남도",52,0.594970544086317,0.142270630664887,1.05762201348645,1.81297754126367,1.15288861333345,2.87951539247132,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
12,"대전시대덕구","대전시",101,0.56282042617156,0.0138546056381432,1.13811269173216,1.75561711251283,1.01395102545845,3.12087275456624,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
13,"부산시해운대구","부산시",121,0.541589350123124,0.0264722276830419,1.0670033466641,1.71873636639691,1.02682572953606,2.9066561951611,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
14,"경상남도창원시","경상남도",60,0.471383907333272,0.0625657127124689,0.878099934241815,1.60220996977562,1.06456441203454,2.40632318765879,"elevated_posterior_spatial_relative_risk","spatial random effect 95% CrI lower bound on log scale > 0"
